
Nombre de imagen               PID Servicios                                    
========================= ======== =============================================
svchost.exe                   1012 PlugPlay                                     
svchost.exe                    368 BrokerInfrastructure, DcomLaunch, Power,     
                                   SystemEventsBroker                           
svchost.exe                   1064 RpcEptMapper, RpcSs                          
svchost.exe                   1128 LSM                                          
svchost.exe                   1328 BTAGService                                  
svchost.exe                   1392 bthserv                                      
svchost.exe                   1400 BthAvctpSvc                                  
svchost.exe                   1424 CoreMessagingRegistrar                       
svchost.exe                   1488 TimeBrokerSvc                                
svchost.exe                   1500 NcbService                                   
svchost.exe                   1680 Schedule                                     
svchost.exe                   1748 DisplayEnhancementService                    
svchost.exe                   1760 ProfSvc                                      
svchost.exe                   1796 hidserv                                      
svchost.exe                   1820 EventSystem                                  
svchost.exe                   1968 DispBrokerDesktopSvc                         
svchost.exe                   2036 UserManager                                  
svchost.exe                   1204 SENS                                         
svchost.exe                   2148 DeviceAssociationService                     
svchost.exe                   2172 StateRepository                              
svchost.exe                   2216 EventLog                                     
svchost.exe                   2264 camsvc                                       
svchost.exe                   2344 Themes                                       
svchost.exe                   2352 SysMain                                      
svchost.exe                   2420 AudioEndpointBuilder                         
svchost.exe                   2428 FontCache                                    
svchost.exe                   2472 Winmgmt                                      
svchost.exe                   2492 nsi                                          
svchost.exe                   2568 Dhcp                                         
svchost.exe                   2680 NlaSvc                                       
svchost.exe                   2696 SEMgrSvc                                     
svchost.exe                   2704 Dnscache                                     
svchost.exe                   2888 netprofm                                     
svchost.exe                   2936 Audiosrv                                     
svchost.exe                   2504 DusmSvc                                      
svchost.exe                   2824 Wcmsvc                                       
svchost.exe                   3164 WinHttpAutoProxySvc                          
svchost.exe                   3304 WlanSvc                                      
svchost.exe                   3408 ShellHWDetection                             
svchost.exe                   3728 BFE, mpssvc                                  
svchost.exe                   3756 LanmanWorkstation                            
svchost.exe                   4092 TokenBroker                                  
svchost.exe                   4156 TabletInputService                           
svchost.exe                   4508 CryptSvc                                     
svchost.exe                   4532 DiagTrack                                    
svchost.exe                   4612 iphlpsvc                                     
svchost.exe                   4624 DPS                                          
svchost.exe                   4680 SstpSvc                                      
svchost.exe                   4704 stisvc                                       
svchost.exe                   4724 LanmanServer                                 
svchost.exe                   4780 TrkWks                                       
svchost.exe                   4812 WpnService                                   
svchost.exe                   4732 WdiServiceHost                               
svchost.exe                   4828 RasMan                                       
svchost.exe                   5768 Appinfo                                      
svchost.exe                   4112 PcaSvc                                       
svchost.exe                   1444 CDPSvc                                       
svchost.exe                   3048 NgcCtnrSvc                                   
svchost.exe                   7072 LicenseManager                               
svchost.exe                   3312 WbioSrvc                                     
svchost.exe                   8708 RmSvc                                        
svchost.exe                   8252 WdiSystemHost                                
svchost.exe                   9080 seclogon                                     
svchost.exe                   3680 InstallService                               
svchost.exe                   4312 UsoSvc                                       
svchost.exe                   3844 wscsvc                                       
svchost.exe                   2204 lfsvc                                        
svchost.exe                  11832 StorSvc                                      
svchost.exe                    576 PhoneSvc                                     
svchost.exe                  12908 Netman                                       
svchost.exe                   5432 SSDPSRV                                      
svchost.exe                  14252 Browser                                      
svchost.exe                  13408 wuauserv                                     
svchost.exe                  10468 CDPUserSvc_1297462                           
svchost.exe                   4136 WpnUserService_1297462                       
svchost.exe                   3712 lmhosts                                      
svchost.exe                  14500 NgcSvc                                       
svchost.exe                  15272 cbdhsvc_1297462                              
svchost.exe                   8528 Eaphost                                      
svchost.exe                  13180 OneSyncSvc_1297462,                          
                                   PimIndexMaintenanceSvc_1297462,              
                                   UnistoreSvc_1297462, UserDataSvc_1297462     
svchost.exe                  10016 DevicesFlowUserSvc_1297462                   
svchost.exe                   1156 ClipSVC                                      
